row_id,_source_file,month_start,year,month,booking_location,tankers_booked,tankers_delivered,delivery_gap,index,division,section,noofbookings,delivered
R1,tankers_reports_2024_12.csv,2024-12-01,2024,12,,8,8,0,0,1,BAHADURPURA,8,8
R2,tankers_reports_2024_12.csv,2024-12-01,2024,12,,3,3,0,1,1,CHANUDLAL BHARADARI,3,3
R3,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,2,1,DARUL SHIFA,1,1
R4,tankers_reports_2024_12.csv,2024-12-01,2024,12,,4,4,0,3,1,DHOOD BOWLI,4,4
R5,tankers_reports_2024_12.csv,2024-12-01,2024,12,,2,2,0,4,1,HASSAN NAGAR,2,2
R6,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,5,1,M.R.G.FILTERS,1,1
R7,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,6,1,MOGHULPURA,1,1
R8,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,7,1,VATTEPALLY,1,1
R9,tankers_reports_2024_12.csv,2024-12-01,2024,12,,58,58,0,8,2,ASMANGARH,58,58
R10,tankers_reports_2024_12.csv,2024-12-01,2024,12,,2,2,0,9,2,AZAMPURA,2,2
R11,tankers_reports_2024_12.csv,2024-12-01,2024,12,,8,8,0,10,2,CHANCHALGUDA,8,8
R12,tankers_reports_2024_12.csv,2024-12-01,2024,12,,8,8,0,11,2,MADANNAPET,8,8
R13,tankers_reports_2024_12.csv,2024-12-01,2024,12,,20,20,0,12,2,MALAKPET,20,20
R14,tankers_reports_2024_12.csv,2024-12-01,2024,12,,80,80,0,13,2,MOOSARAMBAGH,80,80
R15,tankers_reports_2024_12.csv,2024-12-01,2024,12,,64,64,0,14,2,SAIDABAD,64,64
R16,tankers_reports_2024_12.csv,2024-12-01,2024,12,,6,6,0,15,2,SANTOSHNAGAR,6,6
R17,tankers_reports_2024_12.csv,2024-12-01,2024,12,,7,7,0,16,2,VINAY NAGAR (DIV 2 (a)),7,7
R18,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,17,2,YAKATPURA,1,1
R19,tankers_reports_2024_12.csv,2024-12-01,2024,12,,65,65,0,18,3,AHMED NAGAR,65,65
R20,tankers_reports_2024_12.csv,2024-12-01,2024,12,,26,26,0,19,3,ASIF NAGAR,26,26
R21,tankers_reports_2024_12.csv,2024-12-01,2024,12,,130,130,0,20,3,CHINTAL BASTHI,130,130
R22,tankers_reports_2024_12.csv,2024-12-01,2024,12,,5,5,0,21,3,GOLCONDA,5,5
R23,tankers_reports_2024_12.csv,2024-12-01,2024,12,,112,112,0,22,3,HAKEEMPET,112,112
R24,tankers_reports_2024_12.csv,2024-12-01,2024,12,,130,130,0,23,3,KAKATIYA NAGAR,130,130
R25,tankers_reports_2024_12.csv,2024-12-01,2024,12,,4,4,0,24,3,KARWAN,4,4
R26,tankers_reports_2024_12.csv,2024-12-01,2024,12,,18,18,0,25,3,LANGER HOUSE,18,18
R27,tankers_reports_2024_12.csv,2024-12-01,2024,12,,124,124,0,26,3,MEHIDIPATNAM,124,124
R28,tankers_reports_2024_12.csv,2024-12-01,2024,12,,27,27,0,27,3,OLD MALLEPALLY,27,27
R29,tankers_reports_2024_12.csv,2024-12-01,2024,12,,553,553,0,28,3,SHAIKPET,553,553
R30,tankers_reports_2024_12.csv,2024-12-01,2024,12,,19,19,0,29,3,TAPPA CHABUTRA,19,19
R31,tankers_reports_2024_12.csv,2024-12-01,2024,12,,334,334,0,30,3,TOLI CHOWK,334,334
R32,tankers_reports_2024_12.csv,2024-12-01,2024,12,,434,434,0,31,3,VIJAYNAGAR COLONY,434,434
R33,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,32,4,ALLABANDA,1,1
R34,tankers_reports_2024_12.csv,2024-12-01,2024,12,,25,25,0,33,4,GODE-KI-KABAR,25,25
R35,tankers_reports_2024_12.csv,2024-12-01,2024,12,,13,13,0,34,4,GOWLIGUDA,13,13
R36,tankers_reports_2024_12.csv,2024-12-01,2024,12,,253,253,0,35,4,GUNFOUNDRY,253,253
R37,tankers_reports_2024_12.csv,2024-12-01,2024,12,,42,42,0,36,4,HINDI NAGAR,42,42
R38,tankers_reports_2024_12.csv,2024-12-01,2024,12,,329,329,0,37,4,RED HILLS HIGH LEVEL,329,329
R39,tankers_reports_2024_12.csv,2024-12-01,2024,12,,68,68,0,38,4,RED HILLS LOW LEVEL,68,68
R40,tankers_reports_2024_12.csv,2024-12-01,2024,12,,64,64,0,39,4,SULTAN BAZAR,64,64
R41,tankers_reports_2024_12.csv,2024-12-01,2024,12,,5,5,0,40,4,ZIAGUDA,5,5
R42,tankers_reports_2024_12.csv,2024-12-01,2024,12,,36,36,0,41,5,ADIKMET,36,36
R43,tankers_reports_2024_12.csv,2024-12-01,2024,12,,7,7,0,42,5,AMBERPET,7,7
R44,tankers_reports_2024_12.csv,2024-12-01,2024,12,,284,284,0,43,5,AZAMABAD,284,284
R45,tankers_reports_2024_12.csv,2024-12-01,2024,12,,207,207,0,44,5,BAGH LINGAMPALLY,207,207
R46,tankers_reports_2024_12.csv,2024-12-01,2024,12,,146,146,0,45,5,BARKATPURA,146,146
R47,tankers_reports_2024_12.csv,2024-12-01,2024,12,,41,41,0,46,5,BOATS CLUB,41,41
R48,tankers_reports_2024_12.csv,2024-12-01,2024,12,,40,40,0,47,5,DOMALGUDA,40,40
